city,zipcode_cardinality_by_city
Toulouse,6
Bordeaux,5
Montpellier,5
Lille,4
Saint-Benoît,4
Aix en Provence,4
Nice,4
Nantes,4
Longnes,4
Rieux,4
Amiens,3
Tours,3
Fleury,3
Metz,3
Marseille,3
Courcelles-sur-Seine,3
Strasbourg,3
La Rochette,3
Rennes,3
Beaumont,3
Le Havre,3
Aix-en-Provence,3
Ajaccio,3
Saint-Just,3
Saint-Rémy,3
Toulon,3
Saint-Denis,3
Champigny,3
Saint-Joseph,3
Saint-Gilles,3
Ferrieres,3
Villeneuve-d'Ascq,3
Limoges,3
Saint-Augustin,3
St Cyprien,3
Romagne,2
Maurepas,2
Montgaillard,2
Bastia,2
Bassens,2
Roinville,2
Baron,2
Barjac,2
Merville,2
Saint-Hippolyte,2
Vars,2
Vayres,2
Vendome,2
Villette d'Anthon,2
Montbrison,2
Fréjus,2
Saint-Paul,2
Gargas,2
Clermont l Herault,2
Clermont-Ferrand,2
Rouen,2
Valence,2
Faramans,2
Saint-Savin,2
Saint-Sauveur-d'Aunis,2
Saint-Sauveur,2
Saint Leonard,2
Saint-Hilaire,2
Ris-Orangis,2
Civrieux,2
Saint Just,2
Claix,2
Favieres,2
Beaucaire,2
Saint-Renan,2
Montlaur,2
Montjoire,2
Le Mans,2
Saint-Raphaël,2
Clermont Ferrand,2
Rosheim,2
Saint-Nazaire,2
Saint Hippolyte,2
Bagneux,2
Saint Gilles,2
Aureilhan,2
Les Bordes,2
Saint-Mard,2
Vigny,2
Coulombs,2
Fontainebleau,2
Villepinte,2
Aucamville,2
Saint Augustin,2
Saint-Louis,2
Saint-Julien,2
Saint Cyprien,2
Les Sables d Olonne,2
Saint Denis,2
Coëtmieux,2
Villeneuve sur Lot,2
Villenave d Ornon,2
Saint Etienne,2
Les Arcs,2
Les Angles,2
Sacquenville,2
Franconville,2
Cran Gevrier,2
Le Tampon,2
Freneuse,2
Mazé-Milon,2
Vernon,2
Arles,2
Vernouillet,2
Le Thou,2
Francheville,2
Sablons,2
Aytré,2
Saint-Mesmin,2
Beaurepaire,2
Mondeville,2
Moncontour,2
Villers-Bocage,2
Fougeres,2
Saint-Maur-des-Fossés,2
Beaupuy,2
-,2
Saint-Sulpice,2
Pontoise,2
Plouhinec,2
Breteuil,2
St Priest,2
St Quentin Fallavier,2
Simandre,2
Ollainville,2
Brax,2
Seyssel,2
St Savin,2
Cergy,2
Igney,2
Hôpitaux Facultés,2
Cernay-Lès-Reims,2
Nîmes,2
Pompignan,2
La Montagne,2
Noé,2
Chalais,2
Nouvoitou,2
Sucy-en-Brie,2
Bourbriac,2
Selles,2
Boulogne,2
La Force,2
Breuillet,2
Orleans,2
St Julien,2
Perpignan,2
Persan,2
Perigny,2
L'Isle-Jourdain,2
St Etienne,2
Campagne,2
St Denis,2
Canet,2
Cannes,2
Paulhac,2
Paris 16ème,2
Orléans,2
Pierrelaye,2
St Benoit,2
St Leger,2
Jouy,2
St Louis,2
Castelnau le Lez,2
St Maximin,2
Osny,2
La Ferrière,2
Ormes,2
La Roche sur Yon,2
Champeaux,2
Richebourg,2
Bouilly,2
Bias,2
Mulhouse,2
Sainte-Marie,2
Sainte-Hélène,2
Beynes,2
Sainte-Geneviève-des-Bois,2
Lassy,2
Sainte-Cécile,2
Rambouillet,2
Cherbourg en Cotentin,2
Cherbourg en Cotentin (Cherbourg),2
Lavalette,2
Sainte Marie,2
Chevrières,2
Gorges,2
Saint-Étienne-du-Bois,2
Saint-Étienne,2
Antibes,2
Trévoux,2
Le Cannet,2
Belleville,2
Morangis,2
Saint-Vallier,2
Sainte-Suzanne,2
Grazac,2
Grenoble,2
Thil,2
Bou,2
Change,2
Changé,2
La Teste-de-Buch,2
Nimes,2
Chanteloup,2
Savigny,2
Prades,2
Guérande,2
Charny,2
Pringy,2
Chaumontel,2
Thoiry,2
Boisset,2
Bois-le-Roi,2
Guichainville,2
Grisolles,2
Grigny,2
Salignac,2
Périgny,2
Chaumont,2
Chaumont en Vexin,2
Antigny,2
Montreuil,2
Marnay,2
Maisons Laffitte,2
Martigné-Ferchaud,2
Abbeville,2
Saint-André-de-l'Eure,2
Saint Nazaire,2
Saint Savin,2
Andilly,2
Dax,2
Alco,2
Annecy,2
Dunkerque,2
Abondant,2
Amboise,2
Amilly,2
Marly,2
Saint Paul,2
Machault,2
Marines,2
Saint Symphorien,2
Esbly,2
Marigny,2
Saint-Etienne,2
Saint-Georges-du-Bois,2
Marans,2
Margny les Compiegne,2
Luynes,2
Louvigny,2
Aigremont,2
Angers,2
Ézanville,2
Saint-Gervais,2
Vire,2
Allassac,2
Eauze,2
Saint-Cyprien,2
Estivareilles,2
Poulaines,1
Pont-Sainte-Marie,1
Pouillé,1
Pouilly-sur-Loire,1
Pouancay,1
Pouilly les Feurs,1
Saint Thurial,1
Pouilly en Auxois,1
Pouillon,1
Poulainville,1
Poudis,1
Pouant,1
Pouilly-les-Nonains,1
Potigny,1
Pourcieux,1
Pont-Sainte-Maxence,1
Poses,1
Saint Thélo,1
Pont-Salomon,1
Porto Vecchio,1
Portiragnes,1
Porticcio,1
Portets,1
Portet-sur-Garonne,1
Portet sur Garonne,1
Saint Trivier sur Moignans,1
Saint-Agnan-sur-Erre,1
Saint Trojan les Bains,1
Poulx,1
Pourrieres,1
Pourcy,1
Pourrain,1
Pont-Saint-Esprit,1
Precy-sur-Oise,1
Precy sur Oise,1
Precigne,1
Prechacq-Navarrenx,1
Saint Sulpice et Cameyrac,1
Praz sur Arly,1
Saint Sulpice le Verdon,1
Prayssas,1
Praye,1
Pratz,1
Prat Bonrepaux,1
Pont-Saint-Martin,1
Pranzac,1
Saint-Agnant,1
Prailles,1
Prahecq,1
Pont-Saint-Pierre,1
Pradons,1
Pradines,1
Prades-le-Lez,1
Prades le Lez,1
Saint Sulpice sur Leze,1
Pouzols,1
Pouzolles,1
Pont-Saint-Vincent,1
Pouzauges,1
Poussan,1
Portes les Valence,1
Saint Vaize,1
Saint-Affrique,1
Portes en Valdaine,1
Ponthierry,1
Porcheres,1
Pont-de-Veyle,1
Pont-de-l'Arche,1
Pontrieux,1
Pontpoint,1
Saint Vincent sur Jard,1
Pontorson,1
Pontonx sur l Adour,1
Saint Vivien,1
Pontoise-Lès-Noyon,1
Saint Vran,1
Pont-du-Casse,1
Pontivy,1
Ponthévrard,1
Pont-du-Château,1
Pont-à-Mousson,1
Pontenx les Forges,1
Pontchâteau,1
Saint Yon,1
Saint Yrieix sur Charente,1
Pontchateau,1
Pontcharra sur Turdine,1
Pontcharra,1
Pontcarré,1
Pontcarre,1
Pont-l&#039; Abbé,1
Pontault-Combault,1
Pont-l'Évêque,1
Pontault Combault,1
Pontarlier,1
Saint Vincent de Paul,1
Porcheville,1
Saint Vigor d Ymonville,1
Porcieu Amblagnieu,1
Pont-Scorff,1
Portel-des-Corbières,1
Port-sur-Seille,1
Port-la-Nouvelle,1
Saint Verand,1
Port-des-Barques,1
Saint Victor de Chretienville,1
Port-de-Lanne,1
Port-de-Bouc,1
Port-Vendres,1
Port-Sainte-Foy-et-Ponchapt,1
Port-Saint-Père,1
Port-Saint-Louis-du-Rhône,1
Port-Mort,1
Pont-Trambouze,1
Port-Louis,1
Port la Nouvelle,1
Port de Bouc,1
Pont-de-Chéruy,1
Port d Envaux,1
Port Vendres,1
Port St Pere,1
Port Louis,1
Port Leucate,1
Port Camargue,1
Pornichet,1
Pont-de-Vaux,1
Pornic,1
Saint-Agnan-en-Vercors,1
Saint Victoret,1
Priay,1
Preignac,1
Queven,1
Péronnas,1
Pérouse,1
Péroy-les-Gombries,1
Pézenas,1
Quarante,1
Querqueville,1
Querre,1
Saint Sauveur en Puisaye,1
Querrien,1
Querrieu,1
Quesnoy sur Deule,1
Quessoy,1
Saint Sauveur d Aunis,1
Questembert,1
Quetigny,1
Saint Savournin,1
Pérols,1
Saint Sebastien sur Loire,1
Saint Sever,1
Puyricard,1
Puyvalador,1
Saint Sigismond,1
Péchabou,1
Pégomas,1
Pélissanne,1
Pénestin,1
Périgueux,1
Péone,1
Péret,1
Saint Servant,1
Périers,1
Saint Senoux,1
Saint Selve,1
Queue les Yvelines,1
Queyrac,1
Premeaux-Prissey,1
Saint Sauveur,1
Saint Romain de Jalionas,1
Quincy-sous-Sénart,1
Quint Fonsegrives,1
Quint-Fonsegrives,1
Quinte,1
Quintin,1
Quissac,1
