column,nulls,zeros,negatives,min,q1,median,q3,max
listing_id,0,0,0,154794171.0,154835788.5,154882348.0,154929909.0,190900715.0
price,0,16,0,0.0,1150.0,180686.0,268900.0,4750000.0
area,1153,0,0,6.30000019073486,60.0,87.0,105.0,20000.0
site_area,45807,0,0,0.920000016689301,395.0,537.0,813.0,1150000.0
floor,65879,6176,10,-10.0,1.0,2.0,3.0,11111.0
room_count,780,0,0,1.0,3.0,4.0,5.0,65.0
balcony_count,61751,25169,0,0.0,0.0,0.0,1.0,30.0
terrace_count,76236,7016,0,0.0,0.0,1.0,1.0,1260.0
zipcode,0,0,0,75.0,31200.0,49360.0,77840.0,99000.0
build_year,74984,0,0,1.0,1948.0,1977.0,2006.0,19601970.0
terrace_area,99923,13,0,0.0,7.30000019073486,23.0,57.7000007629395,91.5
